alias,infvis,statistics,maths,arts,computer_usage,programming,CG_programming,HCI,UX,communication,collaboration,code_repository
Soup,4,4,5,7,7,4,5,5,6,8,7,5
vq,7,9,7,10,10,7,3,5,4,6,2,5
jjettas,6,7,5,3,10,9,5,4,7,10,8,10
SunnyStockholm,2,3,5,3,6,5,1,2,2,8,5,3
Yami,6,4,7,9,8,7,7,6,6,9,2,6
pringles,3,3,3,1,4,3,1,1,1,4,4,5
Oseram,6,3,5,2,10,10,7,6,5,8,9,10
Rizzlord,6,7,7,1,10,3,1,1,3,10,10,1
Koronesuki,2,2,5,4,8,5,1,3,2,5,4,5
Daybeha,6,6,5,4,7,7,6,6,1,6,5,5
Pasta,6,7,8,6,9,9,6,6,7,9,10,9
PogChamp,6,6,7,5,9,8,1,1,1,8,7,7
Ropianos,4,4,5,3,9,9,9,7,4,6,6,10
Horse123,3,4,5,2,5,7,8,4,2,5,5,7
Rebin,5,6,6,8,7,7,8,5,6,6,8,8
monoid,7,8,7,7,8,9,7,6,6,7,7,9
Ishi,2,3,5,2,6,5,2,3,3,8,6,4
xXVisWizXx,4,5,5,1,8,5,1,7,5,5,6,4
Aloy,3,3,4,9,8,5,3,3,8,10,8,8
Turb0clutcharen,3,3,6,6,8,7,3,4,2,9,8,8
kanelbullar13,2,7,8,3,5,5,5,5,1,7,6,3
Skvarre,3,4,6,1,8,6,4,2,3,2,3,7
Pål,4,7,8,4,7,4,2,6,7,7,8,8
Modi,2,3,6,6,6,5,3,5,6,8,8,5
Bluebell,1,4,4,4,4,2,5,5,5,9,8,3
Noggin_bops,6,2,5,7,10,9,10,6,4,5,6,10
Lumos,7,4,8,4,10,8,5,6,6,5,8,9
Santa86,3,5,8,9,4,4,4,5,7,6,6,6
mercury,2,8,5,3,5,3,4,3,1,6,9,4
DonkeyKong1,2,3,2,4,5,2,4,2,3,5,5,3
ardillito28,4,5,4,6,8,8,2,1,4,8,7,8
rabbit99,3,4,3,7,8,4,1,5,10,10,8,1
unpwu,3,8,7,3,7,5,8,2,1,6,6,7
PetrifiedDropbear69,6,7,7,4,8,7,6,7,4,9,5,8
ChaCharizard,4,3,10,9,9,4,2,3,5,10,8,5
HalfCrimp,3,7,5,4,7,6,7,3,4,7,7,7
coldfooter,8,6,7,6,8,7,4,6,4,7,7,7
Ramennoodle,3,3,6,4,7,2,2,2,3,7,8,2
Rufstufsan,2,5,8,3,10,7,6,7,5,7,8,10
C3I2,8,9,8,3,9,8,5,7,7,8,7,9
Bempis2,3,3,3,8,8,7,7,6,8,8,7,7
